id,name,species,age,healthStatus,nextVisit,comments
1,Pochi,dog,5,Healthy,2024-02-15,次の訪問で血液検査を実施する予定。
2,Taro,dog,8,Needs Monitoring,2024-01-20,胃肠不調が常識化しているため、追加検査が必要。
3,Momo,dog,3,Healthy,2024-03-01,狂犬病ワクチン接種完了。来年の更新を忘れずに。
4,Hachi,dog,12,Needs Monitoring,2024-01-25,関節炎の症状あり。痛み止めの投与を継続中。
5,Koro,dog,2,Healthy,2024-04-10,予防接種はすべて完了。とても元気な状態。
6,Shiro,dog,6,Treatment Required,2024-01-18,歯石の除去が必要。歯肉炎の初期症状あり。
7,Luna,dog,4,Healthy,2024-03-20,フィラリア予防薬の処方済み。定期投与を継続。
8,Buddy,dog,9,Needs Monitoring,2024-02-01,心臓の検査結果要注意。投薬開始を検討。
9,Riki,dog,1,Healthy,2024-02-28,初回ワクチン接種完了。発育状態良好。
10,Mei,dog,7,Treatment Required,2024-01-22,皮膚アレルギーの治療中。食事制限継続。
11,Kenta,dog,5,Healthy,2024-04-05,年次健康診断済み。特に問題なし。
12,Sora,dog,10,Needs Monitoring,2024-02-10,甲状腺機能の検査値が境界線。経過観察必要。
13,Hana,dog,3,Healthy,2024-03-15,混合ワクチン接種完了。体重管理順調。
14,Rocky,dog,8,Treatment Required,2024-01-30,耳の感染症治療中。清潔維持の指導実施。
15,Goro,dog,4,Healthy,2024-04-20,予防接種とフィラリア予防を定期的に実施中。
16,Sakura,dog,6,Needs Monitoring,2024-02-05,軽度の貧血あり。食事療法開始。
17,Chibi,dog,2,Healthy,2024-03-10,すべての予防接種完了。成長は順調。
18,Max,dog,11,Treatment Required,2024-01-28,白内障の初期症状。点眼薬処方中。
19,Yuki,dog,5,Healthy,2024-04-15,定期検診済み。予防接種も完了。
20,Kiki,dog,7,Needs Monitoring,2024-02-20,体重過多。食事制限と運動療法を開始。
